date,demand,price,promotion,day_of_week
2023-04-26,104,53.71,0,2
2023-04-27,100,53.04,0,3
2023-04-28,165,46.87,1,4
2023-04-29,183,53.93,1,5
2023-04-30,141,50.39,0,6
2023-05-01,105,53.07,0,0
2023-05-02,94,53.96,0,1
2023-05-03,113,48.18,0,2
2023-05-04,143,46.1,1,3
2023-05-05,140,47.28,0,4
2023-05-06,162,49.27,0,5
2023-05-07,152,53.18,0,6
2023-05-08,138,53.61,1,0
2023-05-09,102,45.07,0,1
2023-05-10,100,50.11,0,2
2023-05-11,104,49.17,0,3
2023-05-12,140,47.22,0,4
2023-05-13,163,46.2,0,5
2023-05-14,145,48.38,0,6
2023-05-15,133,54.43,1,0
2023-05-16,105,48.23,0,1
2023-05-17,134,50.19,1,2
2023-05-18,128,52.03,1,3
2023-05-19,134,48.64,0,4
2023-05-20,146,54.72,0,5
2023-05-21,168,54.62,1,6
2023-05-22,115,47.52,0,0
2023-05-23,102,49.97,0,1
2023-05-24,122,48.01,0,2
2023-05-25,112,47.85,0,3
2023-05-26,173,45.37,1,4
2023-05-27,152,51.1,0,5
2023-05-28,151,50.03,0,6
2023-05-29,109,45.51,0,0
2023-05-30,110,47.79,0,1
2023-05-31,116,54.08,0,2
2023-06-01,110,47.4,0,3
2023-06-02,147,46.45,0,4
2023-06-03,154,49.89,0,5
2023-06-04,143,54.86,0,6
2023-06-05,119,47.42,0,0
2023-06-06,133,51.72,1,1
2023-06-07,114,52.62,0,2
2023-06-08,114,47.38,0,3
2023-06-09,163,52.28,1,4
2023-06-10,163,48.68,0,5
2023-06-11,152,51.32,0,6
2023-06-12,110,51.34,0,0
2023-06-13,100,50.36,0,1
2023-06-14,109,45.9,0,2
2023-06-15,104,53.35,0,3
2023-06-16,140,48.21,0,4
2023-06-17,165,46.87,0,5
2023-06-18,154,45.41,0,6
2023-06-19,101,50.91,0,0
2023-06-20,109,51.78,0,1
2023-06-21,117,45.17,0,2
2023-06-22,111,50.12,0,3
2023-06-23,177,47.26,1,4
2023-06-24,162,51.45,0,5
2023-06-25,154,46.74,0,6
2023-06-26,107,51.91,0,0
2023-06-27,102,48.87,0,1
2023-06-28,107,54.37,0,2
2023-06-29,144,46.38,1,3
2023-06-30,172,48.41,1,4
2023-07-01,157,46.13,0,5
2023-07-02,170,54.25,1,6
2023-07-03,111,53.77,0,0
2023-07-04,112,47.58,0,1
2023-07-05,111,51.6,0,2
2023-07-06,136,53.17,1,3
2023-07-07,139,50.55,0,4
2023-07-08,164,50.3,0,5
2023-07-09,150,47.42,0,6
2023-07-10,114,45.93,0,0
2023-07-11,103,53.97,0,1
2023-07-12,104,54.0,0,2
2023-07-13,107,51.33,0,3
2023-07-14,143,48.39,0,4
2023-07-15,159,48.49,0,5
2023-07-16,154,52.26,0,6
2023-07-17,102,53.97,0,0
2023-07-18,105,53.87,0,1
2023-07-19,135,52.8,1,2
2023-07-20,116,51.42,0,3
2023-07-21,145,45.84,0,4
2023-07-22,169,46.62,0,5
2023-07-23,139,53.99,0,6
2023-07-24,111,51.06,0,0
2023-07-25,120,45.09,0,1
2023-07-26,115,46.01,0,2
2023-07-27,114,51.64,0,3
2023-07-28,143,45.05,0,4
2023-07-29,171,46.61,0,5
2023-07-30,162,50.49,0,6
2023-07-31,107,51.92,0,0
2023-08-01,107,51.52,0,1
2023-08-02,121,47.24,0,2
2023-08-03,117,52.12,0,3
2023-08-04,141,47.37,0,4
2023-08-05,161,48.25,0,5
2023-08-06,147,52.46,0,6
2023-08-07,103,51.5,0,0
2023-08-08,133,53.49,1,1
2023-08-09,135,51.58,1,2
2023-08-10,107,50.68,0,3
2023-08-11,145,45.94,0,4
2023-08-12,164,48.68,0,5
2023-08-13,161,47.65,0,6
2023-08-14,109,47.44,0,0
2023-08-15,112,54.73,0,1
2023-08-16,112,48.93,0,2
2023-08-17,107,53.92,0,3
2023-08-18,144,51.31,0,4
2023-08-19,153,52.95,0,5
2023-08-20,154,50.03,0,6
2023-08-21,112,50.77,0,0
2023-08-22,114,49.93,0,1
2023-08-23,116,46.95,0,2
2023-08-24,122,52.22,0,3
2023-08-25,171,47.81,1,4
2023-08-26,164,45.24,0,5
2023-08-27,148,51.45,0,6
2023-08-28,113,46.77,0,0
2023-08-29,105,54.4,0,1
2023-08-30,114,54.54,0,2
2023-08-31,115,54.15,0,3
2023-09-01,141,48.7,0,4
2023-09-02,163,45.15,0,5
2023-09-03,151,54.28,0,6
2023-09-04,110,49.28,0,0
2023-09-05,111,54.67,0,1
2023-09-06,109,54.64,0,2
2023-09-07,102,53.53,0,3
2023-09-08,182,47.94,1,4
2023-09-09,173,48.85,0,5
2023-09-10,146,53.51,0,6
2023-09-11,113,48.17,0,0
2023-09-12,118,46.69,0,1
2023-09-13,114,50.57,0,2
2023-09-14,112,54.36,0,3
2023-09-15,151,51.96,0,4
2023-09-16,162,50.7,0,5
2023-09-17,153,45.97,0,6
2023-09-18,105,51.15,0,0
2023-09-19,105,54.9,0,1
2023-09-20,117,46.4,0,2
2023-09-21,122,50.18,0,3
2023-09-22,137,53.77,0,4
2023-09-23,162,52.41,0,5
2023-09-24,181,51.97,1,6
2023-09-25,117,52.02,0,0
2023-09-26,128,48.59,0,1
2023-09-27,113,47.94,0,2
2023-09-28,108,53.09,0,3
2023-09-29,146,53.1,0,4
2023-09-30,164,53.67,0,5
2023-10-01,159,54.13,0,6
2023-10-02,117,50.11,0,0
2023-10-03,112,50.02,0,1
2023-10-04,144,52.98,1,2
2023-10-05,118,51.5,0,3
2023-10-06,146,52.02,0,4
2023-10-07,164,52.96,0,5
2023-10-08,186,53.9,1,6
2023-10-09,122,48.38,0,0
2023-10-10,122,48.76,0,1
2023-10-11,152,45.94,1,2
2023-10-12,143,50.78,1,3
2023-10-13,150,45.36,0,4
2023-10-14,171,49.66,0,5
2023-10-15,150,50.43,0,6
2023-10-16,119,47.87,0,0
2023-10-17,142,50.91,1,1
2023-10-18,120,45.31,0,2
2023-10-19,126,45.37,0,3
2023-10-20,143,53.23,0,4
2023-10-21,167,48.6,0,5
2023-10-22,152,46.27,0,6
2023-10-23,118,50.22,0,0
2023-10-24,116,52.7,0,1
2023-10-25,129,47.16,0,2
2023-10-26,112,51.23,0,3
2023-10-27,150,45.85,0,4
2023-10-28,171,45.52,0,5
2023-10-29,163,50.31,0,6
2023-10-30,114,50.41,0,0
2023-10-31,115,51.37,0,1
2023-11-01,116,52.26,0,2
2023-11-02,112,54.76,0,3
2023-11-03,143,50.16,0,4
2023-11-04,168,48.23,0,5
2023-11-05,158,52.95,0,6
2023-11-06,113,47.71,0,0
2023-11-07,147,49.39,1,1
2023-11-08,117,45.78,0,2
2023-11-09,127,45.25,0,3
2023-11-10,134,54.63,0,4
2023-11-11,160,53.36,0,5
2023-11-12,156,51.96,0,6
2023-11-13,125,49.09,0,0
2023-11-14,119,46.73,0,1
2023-11-15,117,46.56,0,2
2023-11-16,128,47.5,0,3
2023-11-17,169,50.49,1,4
2023-11-18,153,52.15,0,5
2023-11-19,187,51.6,1,6
2023-11-20,116,47.8,0,0
2023-11-21,107,54.55,0,1
2023-11-22,148,52.38,1,2
2023-11-23,117,50.54,0,3
2023-11-24,143,51.12,0,4
2023-11-25,161,49.2,0,5
2023-11-26,164,47.48,0,6
2023-11-27,121,48.56,0,0
2023-11-28,114,52.58,0,1
2023-11-29,131,45.14,0,2
2023-11-30,115,46.16,0,3
2023-12-01,144,45.46,0,4
2023-12-02,168,45.41,0,5
2023-12-03,153,53.55,0,6
2023-12-04,116,52.04,0,0
2023-12-05,116,49.74,0,1
2023-12-06,123,45.98,0,2
2023-12-07,141,49.92,1,3
2023-12-08,155,49.73,0,4
2023-12-09,170,46.73,0,5
2023-12-10,164,49.34,0,6
2023-12-11,120,48.99,0,0
2023-12-12,119,51.16,0,1
2023-12-13,119,51.35,0,2
2023-12-14,124,45.45,0,3
2023-12-15,152,48.75,0,4
2023-12-16,173,51.26,0,5
2023-12-17,189,50.03,1,6
2023-12-18,118,53.56,0,0
2023-12-19,116,51.59,0,1
2023-12-20,158,46.63,1,2
2023-12-21,119,45.71,0,3
2023-12-22,156,51.42,0,4
2023-12-23,203,45.27,1,5
2023-12-24,150,50.86,0,6
2023-12-25,114,54.4,0,0
2023-12-26,114,50.75,0,1
2023-12-27,124,48.88,0,2
2023-12-28,114,51.43,0,3
2023-12-29,147,49.58,0,4
2023-12-30,189,50.46,1,5
2023-12-31,152,54.41,0,6
2024-01-01,108,48.86,0,0
2024-01-02,106,54.61,0,1
2024-01-03,118,54.05,0,2
2024-01-04,126,46.96,0,3
2024-01-05,155,45.69,0,4
2024-01-06,168,46.01,0,5
2024-01-07,163,45.18,0,6
2024-01-08,153,45.94,1,0
2024-01-09,111,51.83,0,1
2024-01-10,131,45.71,0,2
2024-01-11,125,48.19,0,3
2024-01-12,145,53.45,0,4
2024-01-13,174,45.23,0,5
2024-01-14,157,53.14,0,6
2024-01-15,111,47.82,0,0
2024-01-16,122,46.18,0,1
2024-01-17,114,51.97,0,2
2024-01-18,113,51.29,0,3
2024-01-19,144,53.77,0,4
2024-01-20,176,52.35,0,5
2024-01-21,160,53.03,0,6
2024-01-22,119,47.82,0,0
2024-01-23,126,46.77,0,1
2024-01-24,124,52.51,0,2
2024-01-25,121,53.07,0,3
2024-01-26,175,54.91,1,4
2024-01-27,167,49.13,0,5
2024-01-28,165,48.72,0,6
2024-01-29,119,52.76,0,0
2024-01-30,156,48.41,1,1
